score,count
330,2550
331,1350
332,1190
333,3050
334,1360
335,2840
336,1350
337,1280
338,2480
339,1390
340,1310
341,2580
342,1280
343,2920
344,1410
345,1450
346,2540
347,1390
348,2660
349,1200
350,1410
351,2610
352,1400
353,1500
354,1450
355,2980
356,1470
357,1560
358,1600
359,1290
360,1340
361,2460
362,1200
363,1300
364,1420
365,1360
366,1490
367,1600
368,2740
369,1580
370,1380
371,1460
372,1600
373,1440
374,3130
375,1470
376,1360
377,1390
378,1520
379,1440
380,2980
381,1320
382,1510
383,1300
384,1410
385,1370
386,1490
387,2790
388,1290
389,1500
390,1590
391,1510
392,1400
393,2810
394,1320
395,1560
396,1450
397,1540
398,1530
399,1600
400,2690
401,1400
402,1510
403,1190
404,1380
405,1590
406,3130
407,1630
408,1290
409,1330
410,1490
411,1530
412,1460
413,3230
414,1350
415,1440
416,1510
417,1510
418,1550
419,2820
420,1600
421,1590
422,1580
423,1490
424,1700
425,2960
426,1330
427,1470
428,1460
429,1430
430,1430
431,1530
432,3220
433,1450
434,1560
435,1490
436,1560
437,1510
438,2960
439,1420
440,1730
441,1810
442,1220
443,1600
444,1420
445,3040
446,1600
447,1660
448,1590
449,1340
450,1450
451,1360
452,1660
453,1390
454,1540
455,1670
456,1350
457,1410
458,1630
459,1310
460,1670
461,1510
462,1590
463,1540
464,1430
465,1470
466,1270
467,1590
468,1450
469,1350
470,1550
471,1660
472,1460
473,1610
474,1570
475,1550
476,1420
477,1520
478,1490
479,1520
480,1470
481,1480
482,1560
483,1410
484,1560
485,1440
486,1500
487,1380
488,1670
489,1530
490,1620
491,1590
492,1550
493,1230
494,1480
495,1430
496,1540
497,1550
498,1320
499,1570
500,1380
501,1660
502,1670
503,1330
504,1420
505,1750
506,1630
507,1470
508,1810
509,1520
510,1710
511,1510
512,1680
513,1480
514,1400
515,1670
516,1390
517,1430
518,1550
519,1530
520,1630
521,1450
522,1410
523,1690
524,1480
525,1280
526,1550
527,1650
528,1680
529,1460
530,1410
531,1400
532,1480
533,1460
534,1610
535,1590
536,1360
537,1540
538,1480
539,1600
540,1460
541,1600
542,1460
543,1890
544,1510
545,1510
546,1710
547,1630
548,1540
549,1670
550,1690
551,1670
552,1650
553,1700
554,1720
555,1820
556,1600
557,1510
558,1590
559,1410
560,1470
561,0
562,1630
563,1450
564,1570
565,1650
566,1520
567,1750
568,0
569,1400
570,1390
571,1630
572,1620
573,1710
574,1770
575,1680
576,0
577,1520
578,1780
579,1460
580,1530
581,1760
582,1430
583,0
584,1750
585,1710
586,1700
587,1510
588,1560
589,1400
590,1560
591,0
592,1770
593,1780
594,1730
595,1860
596,1570
597,1770
598,1410
599,0
600,1870
601,1780
602,1640
603,1490
604,1490
605,2080
606,0
607,1580
608,1730
609,1530
610,1720
611,1420
612,1590
613,1440
614,0
615,1580
616,1700
617,1740
618,1560
619,1790
620,1670
621,0
622,1700
623,1530
624,1480
625,1800
626,1770
627,1730
628,1580
629,0
630,1610
631,1570
632,1600
633,1470
634,1660
635,1650
636,0
637,1700
638,1850
639,1630
640,1710
641,1820
642,1660
643,1440
644,0
645,1560
646,1670
647,1550
648,1750
649,1510
650,1480
651,0
652,1580
653,1470
654,1690
655,1860
656,1440
657,1860
658,1580
659,0
660,1650
661,1590
662,1900
663,1490
664,1630
665,1490
666,0
667,1410
668,1820
669,1340
670,1850
671,1440
672,1570
673,1510
674,0
675,1820
676,1620
677,1580
678,1600
679,1660
680,1600
681,1590
682,0
683,1300
684,1620
685,1700
686,1510
687,1670
688,0
689,1690
690,1630
691,1680
692,0
693,1830
694,1860
695,1760
696,0
697,1910
698,1610
699,1570
700,0
701,1410
702,1550
703,1790
704,0
705,1840
706,1730
707,1830
708,0
709,1700
710,1740
711,1540
712,0
713,1660
714,1690
715,1700
716,1740
717,0
718,1460
719,1500
720,1770
721,0
722,1600
723,1700
724,1400
725,0
726,1520
727,1610
728,1550
729,0
730,1630
731,1660
732,1510
733,0
734,1460
735,1490
736,1620
737,0
738,1630
739,1660
740,1600
741,0
742,1530
743,1710
744,1760
745,1500
746,0
747,1740
748,1710
749,1820
750,0
751,1700
752,1600
753,1710
754,0
755,1600
756,1550
757,1340
758,0
759,1560
760,1550
761,1550
762,0
763,1610
764,1660
765,1800
766,0
767,1730
768,1350
769,1770
770,0
771,1760
772,1730
773,1510
774,1770
775,0
776,1620
777,1530
778,1670
779,0
780,1530
781,1550
782,1530
783,0
784,1560
785,1720
786,1410
787,0
788,1620
789,1600
790,1810
791,0
792,1630
793,1710
794,1550
795,0
796,1350
797,1600
798,1460
799,0
800,1520
801,1740
802,1660
803,0
804,1480
805,1810
806,1460
807,1740
808,0
809,1540
810,1540
811,1320
812,0
813,1770
814,1520
815,1450
816,0
817,1440
818,1580
819,1570
820,0
821,1450
822,1640
823,1540
824,0
825,1700
826,1730
827,1510
828,0
829,1510
830,1510
831,1700
832,0
833,1580
834,1760
835,0
836,1340
837,1690
838,0
839,1440
840,1800
841,1710
842,0
843,1250
844,1490
845,0
846,1830
847,1450
848,0
849,1550
850,1690
851,0
852,1620
853,1570
854,0
855,1730
856,1430
857,0
858,1390
859,1530
860,0
861,1530
862,1420
863,1630
864,0
865,1610
866,1670
867,0
868,1510
869,1800
870,0
871,1400
872,1500
873,0
874,1540
875,1670
876,0
877,1630
878,1490
879,0
880,1540
881,1500
882,0
883,1550
884,1670
885,1530
886,0
887,1440
888,1440
889,0
890,1540
891,1490
892,0
893,1690
894,1510
895,0
896,1570
897,1690
898,0
899,1680
900,1610
901,0
902,1490
903,1490
904,0
905,1530
906,1510
907,0
908,1510
909,1400
910,1590
911,0
912,1480
913,1570
914,0
915,1640
916,1570
917,0
918,1720
919,1560
920,0
921,1750
922,1440
923,0
924,1480
925,1430
926,0
927,1530
928,1430
929,0
930,1800
931,1560
932,1790
933,0
934,1520
935,1620
936,0
937,1750
938,1360
939,0
940,1370
941,1390
942,0
943,1660
944,1740
945,0
946,1650
947,1650
948,0
949,1410
950,1410
951,0
952,1510
953,1660
954,1440
955,0
956,1740
957,1530
958,0
959,1640
960,1550
961,0
962,1630
963,1580
964,0
965,1410
966,1350
967,0
968,1640
969,1520
970,0
971,1360
972,1420
973,0
974,1530
975,1470
976,1560
977,0
978,1660
979,1760
980,0
981,1460
982,1310
983,0
984,1470
985,1490
986,0
987,1620
988,1710
989,0
990,1520
991,1720
992,0
993,1420
994,1520
995,0
996,1410
997,1440
998,0
999,1530
1000,0
1001,1470
1002,1510
1003,0
1004,1450
1005,1400
1006,0
1007,1470
1008,1520
1009,0
1010,1430
1011,0
1012,1320
1013,1570
1014,0
1015,1430
1016,1580
1017,0
1018,1540
1019,0
1020,1330
1021,1380
1022,0
1023,1540
1024,1470
1025,0
1026,1340
1027,1230
1028,0
1029,1650
1030,0
1031,1340
1032,1400
1033,0
1034,1420
1035,1660
1036,0
1037,1690
1038,0
1039,1400
1040,1580
1041,0
1042,1460
1043,1470
1044,0
1045,1660
1046,0
1047,1330
1048,1400
1049,0
1050,1460
1051,1560
1052,0
1053,1560
1054,1580
1055,0
1056,1360
1057,0
1058,1510
1059,1400
1060,0
1061,1590
1062,1480
1063,0
1064,1590
1065,0
1066,1580
1067,1410
1068,0
1069,1280
1070,1420
1071,0
1072,1770
1073,1540
1074,0
1075,1510
1076,0
1077,1530
1078,1630
1079,0
1080,1480
1081,1330
1082,0
1083,1540
1084,0
1085,1520
1086,1410
1087,0
1088,1670
1089,1470
1090,0
1091,1440
1092,1500
1093,0
1094,1340
1095,0
1096,1410
1097,1450
1098,0
1099,1630
1100,1300
1101,0
1102,1350
1103,0
1104,1390
1105,1500
1106,0
1107,1290
1108,1620
1109,0
1110,1440
1111,0
1112,1450
1113,1410
1114,0
1115,1470
1116,1410
1117,0
1118,1490
1119,1570
1120,0
1121,1400
1122,0
1123,1350
1124,1390
1125,0
1126,1460
1127,1330
1128,0
1129,1360
1130,0
1131,1610
1132,1290
1133,0
1134,1230
1135,1440
1136,0
1137,1480
1138,1340
1139,0
1140,1240
1141,0
1142,1470
1143,1430
1144,0
1145,1340
1146,1500
1147,0
1148,1250
1149,0
1150,1300
1151,1410
1152,0
1153,1320
1154,1230
1155,0
1156,1380
1157,1350
1158,0
1159,1430
1160,0
1161,1320
1162,1290
1163,0
1164,1490
1165,1460
1166,0
1167,1410
1168,0
1169,1260
1170,1510
1171,0
1172,1520
1173,0
1174,1310
1175,0
1176,1360
1177,1240
1178,0
1179,1150
1180,0
1181,1290
1182,0
1183,1580
1184,1390
1185,0
1186,1300
1187,0
1188,1310
1189,0
1190,1430
1191,1460
1192,0
1193,1500
1194,0
1195,1260
1196,1360
1197,0
1198,1500
1199,0
1200,1400
1201,0
1202,1460
1203,1460
1204,0
1205,1320
1206,0
1207,1420
1208,0
1209,1510
1210,1220
1211,0
1212,1240
1213,0
1214,1640
1215,0
1216,1230
1217,1340
1218,0
1219,1400
1220,0
1221,1480
1222,0
1223,1460
1224,1430
1225,0
1226,1320
1227,0
1228,1270
1229,0
1230,1330
1231,1450
1232,0
1233,1100
1234,0
1235,1410
1236,1500
1237,0
1238,1540
1239,0
1240,1490
1241,0
1242,1370
1243,1290
1244,0
1245,1590
1246,0
1247,1240
1248,0
1249,1240
1250,1360
1251,0
1252,1500
1253,0
1254,1420
1255,0
1256,1410
1257,1560
1258,0
1259,1250
1260,0
1261,1220
1262,0
1263,1240
1264,1390
1265,0
1266,1320
1267,0
1268,1210
1269,0
1270,1500
1271,1300
1272,0
1273,1100
1274,0
1275,1190
1276,1350
1277,0
1278,1380
1279,0
1280,1100
1281,0
1282,1270
1283,1460
1284,0
1285,1320
1286,0
1287,1410
1288,0
1289,1470
1290,1220
1291,0
1292,1320
1293,0
1294,1330
1295,0
1296,1200
1297,1300
1298,0
1299,1470
1300,0
1301,1210
1302,0
1303,1410
1304,1230
1305,0
1306,1250
1307,0
1308,1110
1309,1200
1310,0
1311,1300
1312,0
1313,1070
1314,0
1315,1200
1316,1350
1317,0
1318,1350
1319,0
1320,1240
1321,0
1322,1490
1323,1350
1324,0
1325,1220
1326,0
1327,1320
1328,0
1329,1490
1330,1240
1331,0
1332,1330
1333,0
1334,1270
1335,0
1336,1140
1337,1390
1338,0
1339,1090
1340,0
1341,1180
1342,0
1343,1190
1344,1230
1345,0
1346,1200
1347,0
1348,1350
1349,1360
1350,0
1351,1370
1352,0
1353,1350
1354,0
1355,1380
1356,1210
1357,0
1358,1190
1359,0
1360,1000
1361,0
1362,1330
1363,0
1364,1110
1365,0
1366,1260
1367,0
1368,1150
1369,940
1370,0
1371,1240
1372,0
1373,1530
1374,0
1375,1110
1376,0
1377,1190
1378,0
1379,1190
1380,0
1381,1110
1382,0
1383,1140
1384,0
1385,1460
1386,1160
1387,0
1388,1290
1389,0
1390,1110
1391,0
1392,1260
1393,0
1394,1140
1395,0
1396,1180
1397,0
1398,1250
1399,0
1400,1170
1401,0
1402,1190
1403,0
1404,1020
1405,1240
1406,0
1407,1180
1408,0
1409,1250
1410,0
1411,1170
1412,0
1413,1270
1414,0
1415,1150
1416,0
1417,1360
1418,0
1419,1180
1420,0
1421,1250
1422,0
1423,1370
1424,1130
1425,0
1426,1270
1427,0
1428,1140
1429,0
1430,1270
1431,0
1432,1110
1433,0
1434,1160
1435,0
1436,1200
1437,0
1438,1120
1439,0
1440,1000
1441,1120
1442,0
1443,1120
1444,0
1445,1260
1446,0
1447,1160
1448,0
1449,1010
1450,0
1451,1160
1452,0
1453,1290
1454,0
1455,1060
1456,0
1457,1340
1458,0
1459,1040
1460,950
1461,0
1462,1210
1463,0
1464,1140
1465,0
1466,1180
1467,0
1468,1270
1469,0
1470,1180
1471,0
1472,1280
1473,0
1474,1370
1475,0
1476,1040
1477,1260
1478,0
1479,1380
1480,0
1481,1070
1482,0
1483,1140
1484,0
1485,1230
1486,0
1487,1080
1488,0
1489,1190
1490,0
1491,1050
1492,0
1493,1130
1494,0
1495,850
1496,1180
1497,0
1498,1000
1499,0
1500,1190
1501,0
1502,1050
1503,0
1504,1220
1505,0
1506,1230
1507,0
1508,1150
1509,0
1510,1040
1511,0
1512,1280
1513,0
1514,960
1515,1280
1516,0
1517,1150
1518,0
1519,1150
1520,0
1521,1100
1522,0
1523,1070
1524,0
1525,1210
1526,0
1527,1150
1528,0
1529,1280
1530,0
1531,1140
1532,1000
1533,0
1534,1160
1535,0
1536,1210
1537,0
1538,1240
1539,0
1540,1060
1541,0
1542,1070
1543,0
1544,1200
1545,0
1546,1170
1547,0
1548,950
1549,0
1550,950
1551,1100
1552,0
1553,1000
1554,0
1555,1370
1556,0
1557,1210
1558,0
1559,1280
1560,0
1561,1070
1562,0
1563,1250
1564,0
1565,1250
1566,0
1567,1000
1568,0
1569,960
1570,0
1571,1330
1572,0
1573,1040
1574,0
1575,1130
1576,0
1577,1140
1578,0
1579,1060
1580,0
1581,1120
1582,0
1583,1050
1584,0
1585,1120
1586,0
1587,1020
1588,0
1589,1000
1590,0
1591,1100
1592,0
1593,980
1594,0
1595,1150
1596,0
1597,1150
1598,0
1599,1120
1600,0
1601,980
1602,0
1603,0
1604,1120
1605,0
1606,1110
1607,0
1608,1000
1609,0
1610,1140
1611,0
1612,1060
1613,0
1614,1130
1615,0
1616,1090
1617,0
1618,1180
1619,0
1620,860
1621,0
1622,1030
1623,0
1624,1020
1625,0
1626,1050
1627,0
1628,1040
1629,0
1630,1010
1631,0
1632,1190
1633,0
1634,1010
1635,0
1636,0
1637,1160
1638,0
1639,970
1640,0
1641,890
1642,0
1643,1050
1644,0
1645,1100
1646,0
1647,1120
1648,0
1649,1070
1650,0
1651,1080
1652,0
1653,1140
1654,0
1655,1370
1656,0
1657,1110
1658,0
1659,860
1660,0
1661,1190
1662,0
1663,990
1664,0
1665,1040
1666,0
1667,1060
1668,0
1669,0
1670,1190
1671,0
1672,1140
1673,0
1674,990
1675,0
1676,1000
1677,0
1678,1310
1679,0
1680,1000
1681,0
1682,1000
1683,0
1684,1040
1685,0
1686,1230
1687,0
1688,860
1689,0
1690,1190
1691,0
1692,1110
1693,0
1694,1060
1695,0
1696,1040
1697,0
1698,940
1699,0
1700,1030
1701,0
1702,980
1703,0
1704,0
1705,1000
1706,0
1707,1010
1708,0
1709,1020
1710,0
1711,970
1712,0
1713,1070
1714,0
1715,1090
1716,0
1717,1230
1718,0
1719,750
1720,0
1721,850
1722,0
1723,1000
1724,0
1725,1040
1726,0
1727,1000
1728,0
1729,740
1730,0
1731,910
1732,0
1733,1020
1734,0
1735,930
1736,0
1737,0
1738,830
1739,0
1740,1210
1741,0
1742,990
1743,0
1744,1040
1745,0
1746,1020
1747,0
1748,970
1749,0
1750,990
1751,0
1752,890
1753,0
1754,910
1755,0
1756,1010
1757,0
1758,950
1759,0
1760,1030
1761,0
1762,880
1763,0
1764,1100
1765,0
1766,810
1767,0
1768,950
1769,0
1770,1030
1771,0
1772,0
1773,1050
1774,0
1775,840
1776,0
1777,820
1778,0
1779,910
1780,0
1781,1090
1782,0
1783,860
1784,0
1785,1100
1786,0
1787,1070
1788,0
1789,810
1790,0
1791,860
1792,0
1793,1110
1794,0
1795,890
1796,0
1797,960
1798,0
1799,830
1800,0
1801,0
1802,930
1803,0
1804,820
1805,0
1806,780
1807,0
1808,890
1809,0
1810,980
1811,0
1812,910
1813,0
1814,0
1815,870
1816,0
1817,860
1818,0
1819,1020
1820,0
1821,870
1822,0
1823,860
1824,0
1825,1040
1826,0
1827,880
1828,0
1829,0
1830,890
1831,0
1832,910
1833,0
1834,890
1835,0
1836,810
1837,0
1838,830
1839,0
1840,1030
1841,0
1842,970
1843,0
1844,0
1845,990
1846,0
1847,870
1848,0
1849,900
1850,0
1851,1040
1852,0
1853,840
1854,0
1855,780
1856,0
1857,830
1858,0
1859,0
1860,850
1861,0
1862,840
1863,0
1864,1080
1865,0
1866,950
1867,0
1868,930
1869,0
1870,910
1871,0
1872,0
1873,770
1874,0
1875,650
1876,0
1877,990
1878,0
1879,870
1880,0
1881,900
1882,0
1883,750
1884,0
1885,750
1886,0
1887,0
1888,690
1889,0
1890,800
1891,0
1892,950
1893,0
1894,800
1895,0
1896,750
1897,0
1898,990
1899,0
1900,820
1901,0
1902,0
1903,760
1904,0
1905,890
1906,0
1907,750
1908,0
1909,790
1910,0
1911,890
1912,0
1913,820
1914,0
1915,980
1916,0
1917,0
1918,780
1919,0
1920,870
1921,0
1922,790
1923,0
1924,770
1925,0
1926,970
1927,0
1928,910
1929,0
1930,0
1931,820
1932,0
1933,920
1934,0
1935,680
1936,0
1937,960
1938,0
1939,800
1940,0
1941,860
1942,0
1943,800
1944,0
1945,0
1946,720
1947,0
1948,720
1949,0
1950,780
1951,0
1952,1020
1953,0
1954,810
1955,0
1956,950
1957,0
1958,770
1959,0
1960,0
1961,920
1962,0
1963,810
1964,0
1965,870
1966,0
1967,850
1968,0
1969,780
1970,0
1971,850
1972,0
1973,0
1974,890
1975,0
1976,1010
1977,0
1978,780
1979,0
1980,760
1981,0
1982,740
1983,0
1984,830
1985,0
1986,840
1987,0
1988,0
1989,820
1990,0
1991,860
1992,0
1993,920
1994,0
1995,810
1996,0
1997,780
1998,0
1999,940
2000,0
2001,960
2002,0
2003,0
2004,810
2005,0
2006,610
2007,0
2008,740
2009,0
2010,880
2011,0
2012,850
2013,0
2014,790
2015,0
2016,660
2017,0
2018,0
2019,790
2020,0
2021,650
2022,0
2023,890
2024,0
2025,840
2026,0
2027,870
2028,0
2029,820
2030,0
2031,0
2032,790
2033,0
2034,720
2035,0
2036,820
2037,0
2038,680
2039,0
2040,870
2041,0
2042,700
2043,0
2044,650
2045,0
2046,820
2047,0
2048,560
2049,0
2050,670
2051,0
2052,760
2053,0
2054,820
2055,0
2056,640
2057,0
2058,900
2059,0
2060,0
2061,870
2062,0
2063,890
2064,0
2065,750
2066,0
2067,710
2068,0
2069,600
2070,0
2071,740
2072,0
2073,800
2074,0
2075,640
2076,0
2077,710
2078,0
2079,770
2080,0
2081,840
2082,0
2083,770
2084,0
2085,890
2086,0
2087,690
2088,0
2089,0
2090,750
2091,0
2092,730
2093,0
2094,800
2095,0
2096,780
2097,0
2098,830
2099,0
2100,690
2101,0
2102,780
2103,0
2104,680
2105,0
2106,710
2107,0
2108,770
2109,0
2110,860
2111,0
2112,740
2113,0
2114,670
2115,0
2116,0
2117,740
2118,0
2119,790
2120,0
2121,840
2122,0
2123,520
2124,0
2125,870
2126,0
2127,750
2128,0
2129,680
2130,0
2131,770
2132,0
2133,660
2134,0
2135,660
2136,0
2137,620
2138,0
2139,510
2140,0
2141,670
2142,0
2143,750
2144,0
2145,0
2146,730
2147,0
2148,750
2149,0
2150,740
2151,0
2152,670
2153,0
2154,780
2155,0
2156,800
2157,0
2158,810
2159,0
2160,720
2161,0
2162,670
2163,0
2164,700
2165,0
2166,730
2167,0
2168,550
2169,0
2170,760
2171,0
2172,670
2173,0
2174,0
2175,680
2176,0
2177,680
2178,0
2179,710
2180,0
2181,650
2182,0
2183,640
2184,0
2185,560
2186,0
2187,740
2188,0
2189,580
2190,0
2191,690
2192,0
2193,730
2194,0
2195,640
2196,0
2197,590
2198,0
2199,810
2200,0
2201,550
2202,0
2203,0
2204,620
2205,0
2206,630
2207,0
2208,580
2209,0
2210,710
2211,0
2212,620
2213,0
2214,600
2215,0
2216,580
2217,0
2218,680
2219,0
2220,740
2221,0
2222,740
2223,0
2224,650
2225,0
2226,700
2227,0
2228,560
2229,0
2230,830
2231,0
2232,0
2233,670
2234,0
2235,800
2236,0
2237,520
2238,0
2239,540
2240,0
2241,690
2242,0
2243,660
2244,0
2245,540
2246,0
2247,450
2248,0
2249,530
2250,0
2251,670
2252,0
2253,520
2254,0
2255,560
2256,0
2257,620
2258,0
2259,610
2260,0
2261,0
2262,660
2263,0
2264,630
2265,0
2266,540
2267,0
2268,640
2269,0
2270,660
2271,0
2272,680
2273,0
2274,0
2275,600
2276,0
2277,550
2278,0
2279,580
2280,0
2281,640
2282,0
2283,660
2284,0
2285,510
2286,0
2287,0
2288,600
2289,0
2290,620
2291,0
2292,580
2293,0
2294,730
2295,0
2296,590
2297,0
2298,0
2299,630
2300,0
2301,530
2302,0
2303,660
2304,0
2305,550
2306,0
2307,640
2308,0
2309,600
2310,0
2311,0
2312,780
2313,0
2314,580
2315,0
2316,480
2317,0
2318,480
2319,0
2320,670
2321,0
2322,560
2323,0
2324,0
2325,590
2326,0
2327,600
2328,0
2329,580
2330,0
2331,620
2332,0
2333,450
2334,0
2335,580
2336,0
2337,0
2338,480
2339,0
2340,640
2341,0
2342,500
2343,0
2344,640
2345,0
2346,560
2347,0
2348,650
2349,0
2350,0
2351,570
2352,0
2353,600
2354,0
2355,500
2356,0
2357,680
2358,0
2359,510
2360,0
2361,630
2362,0
2363,0
2364,440
2365,0
2366,380
2367,0
2368,520
2369,0
2370,460
2371,0
2372,710
2373,0
2374,0
2375,710
2376,0
2377,510
2378,0
2379,440
2380,0
2381,510
2382,0
2383,440
2384,0
2385,560
2386,0
2387,0
2388,490
2389,0
2390,520
2391,0
2392,560
2393,0
2394,570
2395,0
2396,480
2397,0
2398,490
2399,0
2400,0
2401,340
2402,0
2403,490
2404,0
2405,530
2406,0
2407,390
2408,0
2409,570
2410,0
2411,550
2412,0
2413,0
2414,450
2415,0
2416,460
2417,0
2418,460
2419,0
2420,650
2421,0
2422,480
2423,0
2424,540
2425,0
2426,0
2427,560
2428,0
2429,510
2430,0
2431,410
2432,0
2433,580
2434,0
2435,500
2436,0
2437,0
2438,380
2439,0
2440,530
2441,0
2442,460
2443,0
2444,510
2445,0
2446,580
2447,0
2448,520
2449,0
2450,0
2451,440
2452,0
2453,670
2454,0
2455,460
2456,0
2457,480
2458,0
2459,590
2460,0
2461,410
2462,0
2463,0
2464,700
2465,0
2466,580
2467,0
2468,640
2469,0
2470,440
2471,0
2472,440
2473,0
2474,510
2475,0
2476,0
2477,430
2478,0
2479,540
2480,0
2481,580
2482,0
2483,520
2484,0
2485,500
2486,0
2487,560
2488,0
2489,0
2490,500
2491,0
2492,600
2493,0
2494,490
2495,0
2496,450
2497,0
2498,500
2499,0
2500,440
2501,0
2502,480
2503,0
2504,490
2505,0
2506,580
2507,610
2508,0
2509,580
2510,0
2511,470
2512,380
2513,0
2514,480
2515,0
2516,440
2517,520
2518,0
2519,340
2520,0
2521,520
2522,520
2523,0
2524,500
2525,0
2526,460
2527,450
2528,0
2529,380
2530,0
2531,470
2532,510
2533,0
2534,360
2535,0
2536,480
2537,510
2538,0
2539,440
2540,0
2541,350
2542,540
2543,0
2544,490
2545,0
2546,510
2547,490
2548,0
2549,410
2550,0
2551,530
2552,0
2553,550
2554,410
2555,0
2556,270
2557,0
2558,410
2559,450
2560,0
2561,460
2562,0
2563,470
2564,440
2565,0
2566,330
2567,0
2568,440
2569,360
2570,0
2571,390
2572,0
2573,450
2574,400
2575,0
2576,550
2577,0
2578,430
2579,430
2580,0
2581,370
2582,0
2583,480
2584,480
2585,0
2586,290
2587,0
2588,410
2589,380
2590,0
2591,470
2592,0
2593,430
2594,370
2595,0
2596,410
2597,0
2598,450
2599,0
2600,380
2601,420
2602,0
2603,430
2604,0
2605,500
2606,370
2607,0
2608,470
2609,0
2610,380
2611,400
2612,0
2613,400
2614,0
2615,380
2616,280
2617,0
2618,410
2619,0
2620,460
2621,350
2622,0
2623,340
2624,0
2625,490
2626,400
2627,0
2628,360
2629,0
2630,560
2631,280
2632,0
2633,470
2634,0
2635,360
2636,290
2637,0
2638,390
2639,0
2640,310
2641,460
2642,0
2643,390
2644,0
2645,380
2646,0
2647,370
2648,310
2649,0
2650,460
2651,0
2652,410
2653,460
2654,0
2655,380
2656,0
2657,360
2658,380
2659,0
2660,350
2661,0
2662,360
2663,520
2664,0
2665,360
2666,0
2667,370
2668,350
2669,0
2670,470
2671,0
2672,340
2673,330
2674,0
2675,500
2676,0
2677,420
2678,300
2679,0
2680,390
2681,0
2682,270
2683,260
2684,0
2685,350
2686,0
2687,310
2688,0
2689,420
2690,300
2691,0
2692,350
2693,0
2694,370
2695,0
2696,460
2697,370
2698,0
2699,310
2700,0
2701,310
2702,360
2703,0
2704,420
2705,0
2706,330
2707,0
2708,340
2709,300
2710,0
2711,330
2712,0
2713,340
2714,0
2715,340
2716,380
2717,0
2718,340
2719,0
2720,350
2721,360
2722,0
2723,460
2724,0
2725,260
2726,0
2727,350
2728,320
2729,0
2730,380
2731,0
2732,370
2733,0
2734,410
2735,250
2736,0
2737,240
2738,0
